epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.3377,5.08605,8.04355,4.69218,0.14566,0.37682,0.15771,0.07315,3.88816,32.1988,3.56226,0.00017148,0.00017148,0.00017148
2,50.7872,3.69411,4.79109,3.27322,8e-05,0.00418,4e-05,1e-05,5.27155,inf,5.08668,0.000353713,0.000353713,0.000353713
3,55.9013,3.67319,4.14313,3.1893,9e-05,0.01149,4e-05,1e-05,4.85449,inf,5.30447,0.000532268,0.000532268,0.000532268
4,60.9969,3.48999,3.70034,2.98072,0.05143,0.2311,0.05116,0.01891,3.98747,27.0167,4.06134,0.000707145,0.000707145,0.000707145
5,66.0694,3.51551,3.68958,3.07197,0.08705,0.61275,0.09694,0.03967,3.66716,25.2963,3.48776,0.000878343,0.000878343,0.000878343
6,71.1427,3.38592,3.35431,2.97236,0.38845,0.52337,0.38348,0.14604,3.72574,4.18957,3.40582,0.00104586,0.00104586,0.00104586
7,76.2242,3.46387,3.32915,3.00297,0.803,0.40636,0.48619,0.2224,3.8274,3.85545,3.40299,0.00120971,0.00120971,0.00120971
8,81.5123,3.38148,3.2399,2.93083,0.49435,0.51516,0.47713,0.20086,3.61498,4.01668,3.35165,0.00132997,0.00132997,0.00132997
9,86.4728,3.43822,3.17657,2.96196,0.48597,0.71475,0.57793,0.31737,3.5811,3.14049,3.36062,0.00131582,0.00131582,0.00131582
10,91.5587,3.31567,3.02402,2.84986,0.54712,0.66735,0.60824,0.36007,3.1495,3.13148,2.8797,0.00130168,0.00130168,0.00130168
11,96.6132,3.22663,2.99529,2.83009,0.63242,0.68093,0.65124,0.32429,3.35455,3.52876,2.97584,0.00128753,0.00128753,0.00128753
12,101.762,3.39983,3.06506,2.9124,0.74786,0.49369,0.55042,0.26015,3.85815,3.18191,3.3648,0.00127338,0.00127338,0.00127338
13,106.939,3.21935,2.94531,2.83135,0.4681,0.73012,0.62163,0.29577,3.37046,3.63077,2.92671,0.00125923,0.00125923,0.00125923
14,112.069,3.20102,2.89861,2.79152,0.48907,0.75384,0.63493,0.34173,3.30265,2.40969,2.87277,0.00124509,0.00124509,0.00124509
15,117.265,3.18899,2.82448,2.78838,0.52897,0.69516,0.64251,0.34159,3.11271,2.54121,2.73832,0.00123094,0.00123094,0.00123094
16,122.484,3.20774,2.69271,2.77114,0.57956,0.7565,0.71453,0.41575,2.80947,1.96292,2.56638,0.00121679,0.00121679,0.00121679
17,127.733,3.02833,2.46799,2.70684,0.68527,0.71544,0.73391,0.42396,2.8903,1.96939,2.59447,0.00120265,0.00120265,0.00120265
18,132.827,3.2771,2.64804,2.82548,0.64413,0.7618,0.74147,0.42367,2.81729,2.14472,2.56873,0.0011885,0.0011885,0.0011885
19,138.005,3.36206,2.74369,2.86041,0.58128,0.66735,0.68171,0.31016,3.83111,2.7173,3.17798,0.00117435,0.00117435,0.00117435
20,143.105,3.24039,2.78521,2.82185,0.61937,0.67926,0.69863,0.37513,3.28055,2.40712,2.80081,0.00116021,0.00116021,0.00116021
21,148.203,3.09844,2.62917,2.72658,0.56516,0.7334,0.68772,0.38957,2.87663,2.26984,2.58931,0.00114606,0.00114606,0.00114606
22,153.348,3.0326,2.42845,2.65328,0.67919,0.70036,0.72298,0.42732,2.68239,1.89928,2.50139,0.00113191,0.00113191,0.00113191
23,158.766,3.01397,2.35478,2.66589,0.75475,0.70584,0.75733,0.45439,2.79247,1.88534,2.54745,0.00111776,0.00111776,0.00111776
24,164.036,3.12136,2.42512,2.73114,0.63238,0.75995,0.74204,0.44456,2.55987,1.78012,2.46937,0.00110362,0.00110362,0.00110362
25,169.153,3.03473,2.33656,2.67843,0.65372,0.71691,0.72195,0.41934,3.11236,2.03642,2.70218,0.00108947,0.00108947,0.00108947
26,174.218,3.08469,2.40034,2.69194,0.56401,0.77515,0.72361,0.46135,2.63878,1.97326,2.47171,0.00107532,0.00107532,0.00107532
27,179.533,3.09818,2.32358,2.71933,0.60739,0.81571,0.75651,0.44818,2.96462,1.91298,2.63395,0.00106118,0.00106118,0.00106118
28,184.647,3.15118,2.35194,2.76286,0.70198,0.76715,0.75758,0.44193,3.06295,1.76243,2.74367,0.00104703,0.00104703,0.00104703
29,189.817,3.00815,2.20248,2.66564,0.62719,0.78311,0.75816,0.4723,2.54736,1.74384,2.44225,0.00103288,0.00103288,0.00103288
